,created_at,name,text,followers_count,verified,retweet_count,favorite_count
0,Sat,duongtb.vms@gmail.com,RT GAME X 200 000 000 GMX AIRDROP CONDITION FOLLOW RETWEET LIKE COMMENT YOUR ERC 20 eth btcm crypto payment topbtc,1,False,39,0
1,Fri,Crypto Town,Cointelegraph Governor of Connecticut Signs Blockchain Working Group Bill Into Law bitcoin ripple ethereum,1066,False,0,0
2,Thu,Crypto Elite 📈🚀,BTC 4956 5699 Bounce Scenario Here s Why bitcoin btc,2245,False,0,0
3,Wed,Devan Naratama,PERA Payera blockchain cryptocurrency shopera cardera tokensale bitcoin ethereum Website,378,False,0,0
4,Tue,Jon smith,RT Bitcoin miner aspires to launch largest crypto mining facility in the U S via,338,False,6,0
5,Mon,lelam,Cryptocean seems to be garnering positive vibes amongst traders and investors In addition to typical investors ot,1668,False,0,0
6,Sun,CryptoCrys,Ok crypto peeps I have about treefidy to drop in a coin or few need some ideas I ve done a little DYOR Just want,250,False,0,0
7,Sat,Jah🇯🇲Coin,Speaking on Bloomberg today re crypto and regulators Bitcoin Ethereum blockchain,65,False,0,0
8,Fri,rifky hasan,RT GREENBIT The Next Big Thing money millionaire business cash bitcoin success rich wealth entrepreneur billionair,1336,False,252,0
9,Thu,Marry Sueberg,RT Earn 100 per TBC Coin Distributed Out of the Admin Wallet Send Your Friends here Please Ret,3221,False,1,0
10,Sat,Crypto,RT Heads up just heard a huge Bitcoin Whale With 94 947 BTC has just transferee their Crypto Onto an Exchange Rattli,130,False,7,0
11,Fri,Dallas Newman,BTC seems to be bouncing around inside the cloud walls on the 1hr BTC Bitcoin Crypto Ichi Ichimoto TA,49,False,0,0
12,Thu,Thanhjonhan#TraXionICO,Cryptocean s various functions and platform are explained as simply as possible Cryptocean Blockchain Bitcoin,1616,False,0,0
13,Wed,Olivia Shepherd,The Robot can tell the price movements in the next few seconds that s why it s easy to win much money very fast BestEA Bitcoin,493,False,0,0
14,Tue,Metatron Inc. (MRNJ),MRNJ Bitcoin volatility keeping you up at night Download the 1 Free Deep Sleep Hypnosis Free App for Android Dev,186204,False,0,0
15,Mon,kapil bhola,RT Only 2 days left to get 500 QRX for 1 ETH Don t miss LAST CHANCE to join the future of cryptotrading,3630,False,385,0
16,Sun,alwija,RT Hi Decoin Community Our presale stage 2 is open Dtep coin price of 65 for only 14 days We already sold 2 6m worth of dt,1326,False,181,0
17,Sat,Crypto_techs,RT Apple s App Store Revises Cryptocurrency App Rules bitcoin,2241,False,2,0
18,Fri,Spin Bits,RT What is Bitcoin City LandForSale BTC Blockchain Land Technology,124,False,9,0
19,Thu,Nicolò (尼科洛) Tilotta,RT LightningNetwork 2 405 nodes 8 324 channels 22 981 BTC capacity 1 848 public nodes 1 797 nodes with channels 93 channels op,381,False,7,0
20,Wed,Eduardo Gutiérrez,RT In less than 3 days the Storeplex Pre ICO will be live There s a 100 bonus for early investors so make sure you re a p,71,False,42,0
21,Tue,Cryptonizuka Teacher Great,It can and it will be xrp ripple btc bitcoin,78,False,0,0
22,Mon,martina castro,RT JohnMcAfee Will Serve The Crypto Community When He Runs For President POTUS2020 The Future Is Com,0,False,284,0
23,Sun,Bitcoinity Fan,RT Bitcoin is by far the most energy efficient monetary system we ve ever designed,536,False,565,0
24,Sat,manlost111#TraXionICO,Cryptocean combines technological and financial services on a platform where fiat digital financial assets and cr,1465,False,0,0
25,Fri,Fiat Killer,RT Follow the hashrate The hashrate keeps going higher Price always follows hashrate Every currency in the world,33,False,3,0
26,Thu,Growth48,Certified Blockchain amp Bitcoin Courses blockchain Bitcoin Ethereum,1273,False,0,0
27,Wed,Crypto Airdrops,Bitcoin Satoshi Earn Money cryptocurrency blockchain Airdrop New Airdrop SocialGood The commemoration of,184,False,0,0
28,Tue,🐋,RT When bitcoin was 1 000 people dreamt of 7 000 BTC When bitcoin was 15 000 people dreamt of buying 7 000 BTC Now we,6,False,145,0
29,Mon,znavaz,RT 444Million Token Airdrop Starts Join Now Airdrop freetoken freecoin erc20 ethereum eth eth,355,False,2235,0
30,Sun,Ukan kurniawan,RT Happy Friday and enjoy the weekend 1 ETH 100000 PKG Contract address 0x02f2d4a04e6e01,3868,False,6,0
31,Sat,BinaryFest.Com,BinaryFest BinaryOptions Forex Bitcoin MakeMoney The Enforcement Wave is Here Binary Options CEO Arrested in the US,211,False,0,0
32,Fri,hoangle1523#TraXionICO,Instead of competing and going against the traditional banking and financial systems one of his and Cryptocean s m,1601,False,0,0
33,Thu,pump no dump   #beattoken,RT Start the weekend off right with some light bitcoin humor by checking out hit Youtube Music Video Bitcoin Bil,1179,False,4,0
34,Wed,Chris⚡Given,RT I use Bitcoin everyday No I don t spend it on bread or coffee but by HODLing it I get the peace of mind of having an as,1254,False,33,0
35,Tue,duongtb.vms@gmail.com,RT GAME X 200 000 000 GMX AIRDROP CONDITION FOLLOW RETWEET LIKE COMMENT YOUR ERC 20 eth btcm crypto payment topbtc,1,False,39,0
36,Mon,Crypto Town,Cointelegraph Governor of Connecticut Signs Blockchain Working Group Bill Into Law bitcoin ripple ethereum,1066,False,0,0
37,Sun,Crypto Elite 📈🚀,BTC 4956 5699 Bounce Scenario Here s Why bitcoin btc,2245,False,0,1
38,Sat,Devan Naratama,PERA Payera blockchain cryptocurrency shopera cardera tokensale bitcoin ethereum Website,378,False,0,0
39,Fri,Jon smith,RT Bitcoin miner aspires to launch largest crypto mining facility in the U S via,338,False,6,0
40,Thu,lelam,Cryptocean seems to be garnering positive vibes amongst traders and investors In addition to typical investors ot,1668,False,0,1
41,Wed,CryptoCrys,Ok crypto peeps I have about treefidy to drop in a coin or few need some ideas I ve done a little DYOR Just want,250,False,0,1
